,0,1,2
337,336.0,"Lots of dialogue The secondary missions also seem to have no end, I don't think that's a bad thing but at a certain point it gets tiring, also the fact that you can only advance in the main story when you have a certain rank Of adventure, It kind of loses the meaning of being ""open world"" If you are limited to only following the main mission when the rank is high..., Other than that, the game is perfect and deserves 5 stars",2
338,337.0,I want to play this game but I don't have that much space please make it low space game,5
339,338.0,Mere phone me itna storage nhi hai jitna is game ka size hai 🤬🤬🤬🤬🤬,1
340,339.0,Lovely.,5
341,340.0,I love genshin impact but it keeps kicking me out and lagging and it freezes not letting me play and I deleted games to play it and it still doesn't work,2
342,341.0,what happened to my genshin account it happened that i didn't play for almost 2 months and when i try to log in my account i need to start from the beginning from selecting my character.,1
343,342.0,"This is a kinda great fantasy game, for next please gimme some amazing rewards. Thank you :-)",4
344,343.0,Lmao,5
345,344.0,I literally love this game and the graphics it helps when I'm sad and stuff,5
346,345.0,Man 30GB is crazy I wanna play but can't I need storage,2
347,346.0,I like the game also the graphics is sooo good,5
348,347.0,Overall this game is really beautiful and really fun for a game that's free!,1
349,348.0,I haven't been able to play this since I downloaded it and it keep downloading. This is ridiculous I don't have time this foolishness.,1
350,349.0,BEST RPG GAME CUZ OF LORE (my fav character is venti my opinion),5
351,350.0,"I've been playing since 2020, and I plan to spend many more hours on this game. I have no complaints other than not being able to pet the animals outside of events. It's beautifully made with intricate characters and a complex plot and gorgeous geography all over the map",4
352,351.0,Improve graphics,5
353,352.0,The game is beautiful and the play style is very fun. I'm used to honkai so there is a learning curve. But I am genuinely enjoying the game.,5
354,353.0,"This game is amazing, the first time I saw I thought it would not be good But when I played it on my Samsung tab s9 Fe it was kinda fun",5
355,354.0,I never played this I just like hating,1
356,355.0,So high quality for devices,1
357,356.0,Such a adventurous game I like to play it I wait for play it,5
358,357.0,This game is very fun and is NOT pay to win! I love the game but there is to many downloads but it's still so fun and cool the graphics on ps5 is crazy tho!,4
359,358.0,Its cool bro it's good game,5
360,359.0,Played it before. Good game but no controller support for android? Bad!,1
361,360.0,It has really good graphics and it's an Adventure/story game,5
362,361.0,Cool I recommend it,5
363,362.0,Greedy af devs,1
364,363.0,Very stingy with rewards and very difficult to clear. there is no breath of relief the game wants to kill you,1
365,364.0,Nice open world game.,5
366,365.0,Amazing first part the star is good so far,5
367,366.0,"I love this game so much that I will stay until the very end BUT OMG FONTAIN ARCHON QUESTION ARE SOOOO LONG, I'm okay doing quests but I don't want to hear paimon yapping for 5+ hours straight and I also wan to explore thank u (◍•ᴗ•◍) and stop spoiling hsr",5
368,367.0,I like this game this is my new life you know what I really love this game because I,5
369,368.0,"Awesome totally ten I would rate this game at 10 out of 10.It was a wonderful game and a wonderful experience.The open world , exploring is so much fun and then you characters Are really awesome. I definitely would recommend this game. To all the people who like action games.",5
370,369.0,Wow,5
371,370.0,If you play this game get a job,1
372,371.0,Its very good,5
373,372.0,"Tambahin support gamepad di honkai dan genshin plis, star rail aja bisa",5
374,373.0,This game is excellent especially for anime lovers,4
375,374.0,For me it's an amazing game than any other hoyoversegame. Even though I struggling to get a character on the game I enjoy the game. I wish they improve their wishing system for f2p players. 🙏🙏,5
376,375.0,The rewards every anniversary are only getting worse lmao,2
377,376.0,Nahh,3
378,377.0,Potomu,1
379,378.0,"I can't open genshin impact it's show too many request even after deleting app...again I reinstalled it but it's"" show too many request"" What to do....?",1
380,379.0,Great Game,4
381,380.0,Sad to see this game become nothing more than a cash grab. Wasted potential,4
382,381.0,"- It is SO. FKN. LAGGY. No dialog skipping + None, it's just genshin",1
383,382.0,"Good game,nice view, good graphic, but kedekutt",1
384,383.0,Gacha gak bagus bagus :/,4
385,384.0,"Lol, game too boring. Too much bla bla on quests and they're boring af.",1
386,385.0,Suga,4
387,386.0,Best game,5
388,387.0,THIS IS FIRE!!!11 🔥🔥🔥🔥🗣️🗣️🗣️🗣️,5
389,388.0,30+gb and no sd card support,1
390,389.0,I play everyday and I love the character design.,5
391,390.0,"The games story is really good, but it doesn't feel like you have much choice and just do what they tell you, and some times you need to grind to go further into the story. The other problem is that most of the locations aren't very different from each other, of course there are some really beautiful ones, but it's rare. The last issue is the combat because you often forget about the elemental system and the characters doesn't play much different from each other.",2
392,391.0,Good,5
393,392.0,Absolutely amazinggg 💯💯💯,5
394,393.0,Two words: CONTROLLER SUPPORT!!!!!!,5
395,394.0,"It's a pretty cool game!I've been playing for 1 month now....and the game style,the storyline everything is pretty cool!! Definitely Recommend.",5
396,395.0,Love the game but i fr thought there was a warning when i wished for 5 to get a 5 star character i was saving for zhongli but still love it,5
397,396.0,Aku menyukainya,5
398,397.0,"Very happy to play this game, the story interesting with high-quality graphic, but why this game gets bigger size by day",4
399,398.0,Its great game but not generous enough,1
400,399.0,Good,5
401,400.0,Good game but need some features like to save artifacts of a particular character,5
402,401.0,"It was really a very good game. I enjoyed playing it. Thank you to the team that made this game, they did a great job as always.",5
403,402.0,I love it!,5
404,403.0,starting was fine but got worst after Sumeru I don't want to waste time watching those cutscenes.,2
405,404.0,Best game i have ever seen yet it give poor primo gems. Getting a 5stat take at least 2 months.,1
406,405.0,I was not able to play this game for long but its graphics are insane u should try (by the way I was not able to play this game because my mobile was not able to handle it ),5
407,406.0,Best game ever!!,5
408,407.0,I like it🥰🥰🥰🥰,5
409,408.0,Love it,5
410,409.0,"Nice game but not to play on mobile. It is not optimized. It takes too much space. I love the lore and the quests, but I'm not a big fan of the events. The co-op events are rare and too boring. There are some solo events very creative and fun, but sometimes it just seems they put some random fighting dg to fill the calendar. If you're more ending game, there are few ways to get gems making it hard to even try different banners if you are f2p.",3
411,410.0,Worst gacha ever,1
412,411.0,"To be honest when I played genshin fkr the first time it really I really enjoyed, but the amout of updates it got it really had my storage, deleting genshin was a good thing for me to do, but I recommend this game to people that have enough storage to fo through, or just download Honkai starrail",2
413,412.0,It's the best gacha game you will find,5
414,413.0,WHY IS KAZUHA NOT COMING TO ME 🤬🤬🤬🤬🤬🤬🤬🤬🤬🤬,5
415,414.0,❤,5
416,415.0,Downloaded the app again to give it another go... I don't regret much but what the heck was I thinking? This game has had zero improvement on playability and I don't mean that it doesn't work but you gotta pay to enjoy and even then you still end up with the short stick when you are unable to get powerful enough characters and equip... think I'll stick to WOTV FFBE over this rubbish where you potentially get what you work/pull for.,1
417,416.0,"It was great and all, but when I got into my friends ac to let me borrow it, my friend couldn't log into my account. Please fix it AND STOP MAKING THE LOADING SO SLOW😭😭😭💀💀💀🔥🔥🔥",4
418,417.0,I am lisa main,5
419,418.0,"Do NOT play this game I played this game for over a year and is now ar55, I am currently eternally trapped in farming artifacts with no escape, Don't play the game to avoid this fate",5
420,419.0,I lost my accounts bc I bought a new phone but I still like the game so muchhhhh,5
421,420.0,Not a bad game,4
422,421.0,"absolutely awful character writing, with some characters turning into fanservice material while others becoming gag reliefs so they wouldn't have to make meaningful events. whoever is writing the stories should be sternly talked to. the first patches were so good, but now i see characters i like getting sold to fanservice to get that sweet sweet cash from delusional players. i miss pre-inazuma genshin, when the writing made sense and lores weren't changed for fanservice.",1
423,422.0,The game is crashing alot!!! It's not even opening!!!,1
424,423.0,More primogems.,3
425,424.0,Pet me. Tell u something if I get during or Raiden or nahida I will love u genshine impact and I like the co-op mode and the cut sceens,5
426,425.0,"Not alot of endgame but they will add more in 4.7, the only gripe is some weapons will be near impossible to obtain like an Hp% sword. So far they only have had one 4 star hp sword and it was for a limited time. Also the game is super grindy you will have to log in every day maybe even twice if you want to progress. The artifact system is the worst you can go months without getting 2 EM ones from a set. So if you want to play nahida or kazuha your in pain. Takes one week to level up 1 artifact!!",5
427,426.0,Storage besar cam gampang. Buat cepat rosak fon je.,1
428,427.0,woi hoyo nopal gw mana🤬,5
429,428.0,miskin bansos ajg,3
430,429.0,I sacrificed my phones storage for this better be good,5
431,430.0,Game nya seru,5
432,431.0,"Hello dear hoyoverse Ltd. I almost agree with the rest of reviews recently posted, your start was wonderful, but it is really starting to feel too repetitive, the whole game overally Is mesmerizing and no doubt in that, but please put more areas quest to explore in your future updates including archon quest, it's been a while since your last archon quest updated, we players difinitely appreciate more opportunity to recieve primogems freely and please and please, set up free control bottom.🙏",4
433,432.0,ชอบเนื้อเรื่องมากเลย,5
434,433.0,Best,5
435,434.0,Its a really good game but its very hard to get primogems to get charctars,3
436,435.0,It's ok but it takes up too much storage so yeah the only thing I would have like ia that if it takes just a bit less of storage but overall it's pretty ok,4
437,436.0,اخس شركه في الارض امسحوا العبه ياحراميه,1
438,437.0,"Developing characters is very difficult, and my account is weak, but the game is wonderful, but the number of premojimes is small, and I cannot get many characters, and I only have three Five Stars. I hope you improve the number of premojimes, thank you.",5
439,438.0,🤩🤩,5
440,439.0,"This game has been good,this was the first RPG game ive ever played but I've been having technical issues,my phone has been like blacking out whenever I try to log in on genshin..😓can someone help me fix this issue?",4
441,440.0,Too many characters to control. Why not just make a game where you are to learn a skill rather than summoning another character?,5
442,441.0,Best,5
443,442.0,This game become bad and bad day by day I am playing now from a year aside from story which update like 1 time in 6 weeks there is nothing else to do what a complete dogshit game,1
444,443.0,ill give 5 star if you make me win my 50/50😔❤️,3
445,444.0,I really the game because its test my temper to the limits,5
446,445.0,ужасная игра я играю в нее третий год меня задрало пипец,1
447,446.0,"One of the best game ever. Characters, Theme Music, Story line, Quests, Animations, Events and so far. One of the Best choice I took. The storage is the tricky part but it is worth spending✨🥰❤️. Awaiting for the story to end.",5
448,447.0,"game was fun during its initial stage, lots to explore, characters to build, etc. After a while, the game is rather repetitive. Your team can easily kills anything in the overworld. Abbyss is the place to test out your build. to summarize, basically there is not much incentive to play after you have done everything, apart from testing out new characters, building them again for some time. I have been playing this game religiously for over a year (6months+ on phone, the rest on laptop)",4
449,448.0,I have played this game before but not on this device before after like a hour its was only 2% don't loadinging,1
450,449.0,"Pretty amazing, the games visuals are really good I love the main story quests and the character designs are amazing. Voices are soo pretty and the feeling you get after finally winning your gacha pulls is heaven fr",5
451,450.0,"i can't play it today, the game keep closing or having a bug. Please fix it",2
452,451.0,I keep being kicked and told there is a bug and that I need to update the game even though it's all updated.,4
453,452.0,So I tried playing but every time I try to join it says not enough space so 1 star,1
454,453.0,no controller supports 🤬 apple,1
455,454.0,🔵🫸🫷🔴 🫴 =====🟣,5
456,455.0,excellent,5
457,456.0,the best game ever!!!,5
458,457.0,"Devs are absolutely clueless about the size of this game. Look at their responses. I ended up downloading this on my new Alienware laptop and it is STILL TOO LARGE. It takes a half hour to download new content. I never play bc I don't want to wait that long. Review from a year ago, when I tried to download on mobile: 19 GB?!? Never finished downloading. That's ridiculous.",1
459,458.0,Bad,1
460,459.0,Graphics is Wonderful and I can explore freely,5
461,460.0,I love this game! It's so intresting and magical!!! You can do quest and different battles!! You can even fight those weird blob monsters. This game has boosted my confidence with defense and learning! I LOVE GENSHIN IMPACTTTTTTTT,5
462,461.0,Furina rerun when?,5
463,462.0,I love this ❤❤❤❤❤❤❤❤❤❤😘😘😘😘😘😘😛🐷🐷💒💒🎉🎉☺☺☺🍌🍞🐷🐷🎯😥😒❤😍😛🌄😔😜😃😘,5
464,463.0,"Thought the hype of this game would go down after a few years yet it remains strong with the constant updates, glad I was part of the early group to register for it when it came out. Keep up the good work Devs 👍",5
465,464.0,You'll be so much happier without this game in your life trust me,2
466,465.0,"It's not a game anymore. Unskippable cutscenes, lack of advance, disturbing gameplay mechanics annoy me. The game doesn't give me a change to improve my characters. Everything is so complicated, I play video games to have fun not to live. The game feels like a chore!",2
467,466.0,guys.... pls give me arlecchino at low pity..... i need her so bad......... pls give me tighnari...... then 1 pull arlecchino.....................,4
468,467.0,Game is good but they are not giving us character while we are wishing it takes more time,1
469,468.0,"Playing this game for a while then I stopped playing it because I get bored....now i miss the game, when I log back into it, my account started back to 0.... so I just totally uninstall it. what a waste.",1
470,469.0,Gameplay has needed a good update since 2.0. Pretty much still the same with a few variations.,3
471,470.0,Its great but it keeps having issues when I try to boot the game,4
472,471.0,Fun game but it sometimes takes long to load,4
473,472.0,The game wont start even if I got big storage it keeps saying I need more storage,1
474,473.0,واقعا خیلی خوبه ولی ای کاش حجمش کمتر بود اینطوری راحت تر میشد روی گوشی بازیش کرد شاید تا اخر گنشین نشه روی مبایل بازی کرد بهتره روی کامپیوتر باشه🥲,1
475,474.0,ممتع,5
476,475.0,I enjoy the lore and the art style it's an amazing open world game,5
477,476.0,"In the previous few days the game just crashes out of nowhere, and it's worse everyday, I reinstalled it and waited for few hours to download thinking it would help, but it's just worse. I would think it's bc of the phone even though it's recently bought, but I saw other people complaining about this issue and this needs to be fixed because I literally CANNOT play the game. As soon as I enter, it lags and crash immediately, you can't even do 1 single commission.",1
478,477.0,I just love this game so much,5
479,478.0,Love it,5
480,479.0,Best anime style mmorpg,5
481,480.0,I will give an one star because that consumes so much data if we don't have internet piz fix this😡😡😡 And 1 thing tell every anime game creator fix the data consumer ok?,1
482,481.0,"Great lore. But small rewards, gameplay is a open world,",5
483,482.0,Because it didn't let me play and it sayed that you needed to download something so I didn't like it!,1
484,483.0,Best game 💜,5
485,484.0,Its just too hard+ too complicated. (It is beautiful though),2
486,485.0,I haven't play this game before that i was totally crying i really really wanted to play this game,5
487,486.0,It's a fun adventure game like a mobile version of Zelda,5
488,487.0,Nvm about arlecchino pls give me neuvilette plspls 1 more neuvilette also tysm for the double neuvi in a 10 pull best game ever,5
489,488.0,"No need to explain, best game 🤝",5
490,489.0,Theare is a lot of traps in the game and some black people but only some so it's not a big deal🗿,1
491,490.0,bad,1
492,491.0,Super,5
493,492.0,"I really love this game and fully recommend it. But still,I have to say that farming and getting character should be easier, and I tried Honkai Star rail and it's easier (to farm,and getting characters). But this doesn't mean genshin isn't good (I love genshin's voices,characters, graphics, etc..)from my phone I can't get daily rewards (I hope in 4.6 I'll get them) so I hope hoyo's staff read this and somehow let me get daily rewards too cuz I want those primos (I'm too lazy to get primos).",5
494,493.0,"So,, So",3
495,494.0,Gila keren abiss dah bang!!,5
496,495.0,Can you add how much pitty please like 0/90 cuz I can't remember sometimes how much I used to get my 50/50 character.,4
497,496.0,W GAME,1
498,497.0,when 4.6 waiting for arlecchino,5
499,498.0,They won't listen to player outside of mainland china,1
500,499.0,"I just think that this game is a bit too much for my phone, the space needed is too much.",3
501,500.0,The fontaine story is bad. So many plotholes and inconsistences that they ruin some characters like Neuvillette.,2
502,501.0,Game is very good much better than I thought full game size 31 GB 👍,5
503,502.0,"Help, I'm AR 60. Save me from tnhis hell. Play at your own risk. You might spend money even if you say you won't.",5
504,503.0,❤️‍🩹,5
505,504.0,Bad game I didn't play at all,1
506,505.0,My game crashes literally ever 2 seconds,1
507,506.0,"Not bad,juat not bad",5
508,507.0,This game is time waisting,1
509,508.0,It's The Best Anime Rpg style game I've ever Played.,5
510,509.0,"This game is indeed really pretty, the landscape and characters, I have nothing bad about this review. It's a great game!",5
511,510.0,"not bad, I only gives 3 stars bcs of the size is large",3
512,511.0,Nice girls are sexy,5
513,512.0,𓀐𓂸,5
514,513.0,Stuck at Too many Requests pls try agad I already deleted and I don't use any cheats but I have I lot of Gmail that's all I can't even play it anymore its frustrating that I already downloaded the game resources 4 times and I have an average internet so it's slow and my patients is going down pls fix it Thanks Now I will try to download all the resources hopefully it is fix,1
515,514.0,"This is one of my Google accounts,I thought the problem in the game are just minors,I had to create another account through my other google account to start again because I can't finish some quest in my first account due to inconvenience of finishing quests please don't allow the game to open too many quest that can disrupt other quests specially in the Archon and Story Quests,there's also that one quest which I accidentally finished without navigating I can't finish anymore",4
516,515.0,Please fix its not working,5
517,516.0,Love it so far,5
518,517.0,need controller support for android,3
519,518.0,"I ALREADY GOT GANYUU, THANKSS. now gimme hu tao and wanderer",5
520,519.0,It's need more space,1
521,520.0,Nice game,5
522,521.0,It was good,5
523,522.0,I love this game,5
524,523.0,"It's a good game even though is has a lot of storage taken, Its kinda laggy and make the wishes cheap",4
525,524.0,"pls add a skip button, I'm getting tired of tapping all the time ☺️🌷🌷",5
526,525.0,It's just good,5
527,526.0,Gacha trash.,1
528,527.0,The game is ok . But it has no content no fun event s few rewords no goals to accomplish after 2 month of playing for 90% of ppl . Over all it not that great of the game storyline is a 6/10 combat is 7/10 events 2/10 no end game content or even mid game content,2
529,528.0,Very amazing but the shards are getting very much slowly,5
530,529.0,"lose qiqi pity 80, neuvilete pity 75 🤡.",1
531,530.0,"A lot of players, are just gotcha addicts. Its a gotcha yes but it's an RPG, know what rpg mean, dont ask for skip dialogue this and that. That's what the game is. You're all about meta, and just complaining on things you dont like. You're not even playing the game as it is. RPGs are known for their stories amd that's what made them great, play the game by reading and doing quest and READ. Other things in game are just bonuses, just play the game as it is.",5
532,531.0,"Everything else is nice but, you'll spend your lifetime but won't get a nice artifact set. Artifacts rng should be optimised, it makes it so annoying to go daily in the same domain and get nothing gud in return.",1
533,532.0,"I really love the characters, Game exploration, atmosphere and especially the story and Lore would love to play this all day, all night no sleep",5
534,533.0,It's cool! I want to make a request for the new update pls add this so in the game aether or lunime is killed by their sister or brother but turns out they are clones of the original two and the original aether or lunime are locked up and weren't killed like the other clones who tried to kill their original because of the memory fragment they got from the twins when created and only wanted revenge on those who destroyed their home.pls I like this game pls add this in the game I am very happy😊,5
535,534.0,Super graphics,5
536,535.0,Best exploring adventure and RPGs game I have ever played I give this a 5 because the game is very qualified,5
537,536.0,It's a 30gb space consumption what the heck is this game large files,1
538,537.0,Man f this I'll go play minecraft,1
539,538.0,Suppperrrr,5
540,539.0,Bad game,1
541,540.0,Pay2win game,1
542,541.0,It's a best game ever,5
543,542.0,I'm sick of seeing ads for this everywhere when I already have it downloaded. Have so much money into and cant even recover my account on my ps4,1
544,543.0,"I'm done with this game, not gonna burn any more money. Thank you for giving me 2 stupid swords instead of Neuvillette weapon. WAKE UP ! EVERYONE IS HATING THIS GAME !",1
545,544.0,Game js good but it freezes again and again. Please do something or provide me solution.,5
546,545.0,"I would recommend this game because of the graphics or characters, but there is a reason why it's not too good because I've tried to play with my friend but he said that the account he uses is asia.Mine is america, when we tried everything we can't multiplayer. So i recommend to put a cross server where people can play with different regions.. Thanks!!",4
547,546.0,"The graphics are great and storylines are important, but it takes a lonnngg time to load and then unfortunately undo s the progress you've made, also when I started the app, it approx took me 8AM before I went to eat DINNER AND THEN it loaded after like 6 at the evening. Bro. I absolutely hate this now",1
548,547.0,"Please give us a unique anniversary item or etc. that make this anniversary more memorable/special, and to make us feel more appreciated or proud from playing this game. A unique item that can make the players present at this timeline feel nostalgic whenever we look at it in the future, and that we can boast it to the upcoming new players in the future. Although It's fine if not. TY for creating an Amazing Game, Belated Happy Anniversary. Hope we get some fun new events ^^",1
549,548.0,Very good Game,5
550,549.0,mihoyo does not give us more wishes than honkai PLS MIHOYO GIVE US MORE PRIMOS,3
551,550.0,Like it I love it!!!!!,5
552,551.0,Very good game,5
553,552.0,It is more than amazing and I wish it could be more amazing,5
554,553.0,10/10 love it all <3 ♡♡,5
555,554.0,Nice,5
556,555.0,It is lagging,1
557,556.0,Sneaking around early game is too hard,1
558,557.0,It was loading it takes an hour but I like it,3
559,558.0,"It was fantastic at first but after 3 years of playing it, doing the same thing everyday. I got bored and gave up on this game and switched to HSR",3
560,559.0,I love this game 😍,5
561,560.0,Give tao year 3 lol but grinding is 💀. Update: Honkai impact 3d is better,3
562,561.0,"best game I've ever played since the time I ever tried a mobile game in any form,but please listen,the problem while in the fight,the obstacles will block our vision,sometimes don't even know if I'm hitting my target,trees grasses rocks anything can block our vision while fighting,it destroy our skills on a gameplay, please fix this,any other problems in the game are just minor,though this game is rooted in Paganism,the gameplay is action and problem solving type of quests,can increase brain IQ",5
563,562.0,great game but lack of updates 👍,4
564,563.0,"I've played this game for 100s of hours and I can say I only enjoyed a few hours of gameplay. The characters, graphics, art, and cutscenes in this game is beautiful. Collecting characters is a nightmare unless you have 60-120 dollars everytime you're interested in a character. It takes hours of bosses, grinding, and collecting just to build a single character so no you can't play with the character right after getting it. The quests are dreadful. 500 letters is not enough to explain how this gam",1
565,564.0,I like the game but you should be able to lower the world level more than once because as a new I just worked on my adventure rank and now I can't really beat anything. The game also needs a selling system like breath of the wild where can sell anything you're not going to use to get Mora easier because it a big part of the game as you need is level and ascend character plus you also need it to level up weapons and artifacts.,3
566,565.0,"This game has beautiful graphics, characters, scenes, and has great storyline too! I've been playing a lot since I joined like, two months ago maybe? I've been hooked ever since, this game is just so much fun! I only wish there was more to do in co-op mode.",5
567,566.0,"Okay, I think this is the most fun game ever, tbh but the only reason I gave it 3 stars I it uses a lot of space, which I had no choice but to uninstall it. My phone keeps on chasing it really hurt me to uninstall the game it's not even my own device , but I'm going to install it again very soon, so keep up with the work till then I will be using star hail.....(also a good game btw)",3
568,567.0,The game was good but so glitchy the first time I ever played it was on my computer and on my computer it was glitchy but on my phone it won't even load and I deleted apps to make your room,1
569,568.0,This is very good like ps5 kinda good,5
570,569.0,"Why resolution is very low on my phone? Even after seting it the highest possible in the settings, still it feels low. I play on Snapdragon 730 powered phone.",5
571,570.0,"Hell naw, stingiest gacha ever",1
572,571.0,It's graphic is best and story line best and for my opinion 5star game and I am playing this for second time from restart,5
573,572.0,"Genwhin Impact is the best , I absolutely love the game.",5
574,573.0,"This is a very nice game, most the quests were fun and challenging. I would recommend for friends",5
575,574.0,For version 4.6 could it have the data be in MB?.,1
576,575.0,"Before I start, I need to say, that I absolutely love(d) This game. I loved everything about it. And still, today was the day I deleted genshin impact. On April 24rd 2022 I believe was the day I downloaded genshin. I loved playing, I was addicted to the game but with time it just got too much. The events are super fun to play, the stories are a but tiring but also interesting. Building characters was one of my favourites. But everything has an end. Goodbye genshin, thanks for this fun time❤️🙏🏼",5
577,576.0,"Love this game beautiful, fun and very addictive, not to difficult to learn or understand been playing 78 days strong now and I already got several 5 stars, I would recommend anyone give this game a go. Reward system not to good its a pain to collect primos, updated at 542 days of playing",4
578,577.0,"Best mobile game on the market if your device can handle it and you play for the story. Otherwise, good luck on your pulls",5
579,578.0,I love it but when I play it kinda glitch,5
580,579.0,Gets stuck on a white screen after door after you've spent 30GB of download time. Thanks greatest waste of my time,1
581,580.0,A thirst trap. Not recommended. And above that if you play more than 30 minutes a day you will be FORCED to pay to play. Otherwise you can't visit dungeons and loot items you need,1
582,581.0,I like this game,5
583,582.0,Great game with good graphics and content but I can't progress quickly because of it's repetetive gameplay content. Even though I completed many missions they keep appearing everytime I pass through that area. I love this game but it would be more awesome if it can adopt gameplay like gta game in which the missions won't repeat and completely disappears and navigate to other missions.,3
584,583.0,Really nice game,5
585,584.0,Good,5
586,585.0,Good game 👍,5
587,586.0,Cuz i do,1
588,587.0,I can't believe I was missing out on this for a long time. That 30 GB storage loss was worth it.,5
589,588.0,Great game,5
590,589.0,Please add controller support on android. It is very uncomfortable to play and can't even customize touch controls.,1
591,590.0,Love it,5
592,591.0,"You know the game is good, but you better fired the person who is Managing the rewards in this game, Nobody loves him everyone wants more rewards like starrail! give us 30 limited banner wishes at every version like starrail!!! give us custom artifact maker like starrail!!!!! Also remove TCG! nobody loves that game! nobody plays that thing!! And give us a better and good free five star!!!! Aloy is garbage! She is like 3 star character! If you want to give a five star then giveGenshinCharacter!",1
593,592.0,It's a nice open world rpg game in anime theme with it's graphics in a high peak quality. I just wish that it's have an keyboard controller too for tablet users who use mouse and keyboard.,5
594,593.0,BaBa ramdev ne kaha ki puja karne se pahle ek kissa sunaya kisi nagar men,5
595,594.0,"Love the animation, graphics, design, story line..... ❤️❤️❤️❤️❤️❤️❤️❤️❤️",5
596,595.0,"Game is good tbh,hot characters. I think the rewards are very unfair much to hsr, if I were to be honest though Genshins' plot and storyline is better than Honkai Star Rail. Everything at Genshin impact literally takes over Honkai Star Rail,the thing is it's the rewards that don't take Genshin over Hsr. It's really unfair for Hoyoverse to give less rewards to the game that actually helped the company. Although at least Genshin has no racist character unlike some character Hsr named ""Sparke""...Ew",4
597,596.0,Pls make its size small and optimize it,2
598,597.0,"Absolutely in love with the fontaine archon quest and lore!! It's my favorite archon quest since finishing it and I enjoyed it thoroughly, there's things i'm still discovering in monstadt at AR 45 and still so much to do!! Thank you hoyoverse for the cat petting event!😼",5
599,598.0,"Can't retrieve my account, customer service is trash they don't care about hacked and scam account they only care is money",1
600,599.0,Kikir impact,1
601,600.0,"I think I can highly recommend this game if you're the sort of person who's not taken in by mobile pay to win predatory monetization schemes. All of that is here but there's a surprisingly good game here if you can resist that. Lots to explore, beautiful environments and decent story line -if a bit over written.",4
602,601.0,Game kikir,1
603,602.0,NICE GEME,4
604,603.0,Amazing game love it all people giving 1star should know that you are getting rewards even after not playing for 1 year .,1
605,604.0,"Hi mihoyo if you're reading this im rating it on my cellphone not on my ps4 cause i dont know how anyways back to topic, mihoyo can you pls give me yanfei on my roll cause when i roll 30 i get 2 barbar and 1 xingqiu and not a single yanfei appeared on my screen such a unlucky day it didn't give me it but how rare is yanfei actually is????",4
606,605.0,This game is so good and i love how the animation and the character styles!,5
607,606.0,"I am lost in it !! Beautiful experience, but do improve more!",5
608,607.0,The game is so good.In our country this game is not so popular but some people are play this game and all off them said that the game is so good.,5
609,608.0,Good game,5
610,609.0,It's a fun adventure,4
611,610.0,For me genshin impact is one of the best open world game that I played,5
612,611.0,Not f2p friendly,1
613,612.0,you can't play with your friends because your task is not completed please remove this process,1
614,613.0,"Too grindy, too time consuming doesn't even give that much rewards for your time. 1 hour grind for a half summon? Hell nah💀",1
615,614.0,Give more endgame content And GIVE MORE REWARDS FOR US!!!!!!!!,1
616,615.0,Wow nice game,5
617,616.0,I love this game,5
618,617.0,very beautiful game but his recourse are so slow to fix pls I request,5
619,618.0,GREAT GAME,5
620,619.0,What's wrong with this game? This game soooo selfish with giving mobile players 5 star characters. It's ridiculous i can't even level up the way i want to. As a good looking game your just gonna be TRAPPED in a world with monsters that are stronger than you.,2
621,620.0,I like the game so much But my phone couldn't handle the storage i wish that you could maybe just give us a right amount so That many people could download the app,4
622,621.0,"Now,I've been playing genshin for a while now, for about 3 weeks and 4 days.I have this idea in my mind and it kills me not to ask this to you. Why does characters with ya know, elements, cool elements in fact,but why do they get damaged by their own elements? Like, my point is why not make them immune to their own elements or just make the damage absorbed less critical if the enemy has the same element as the character?Don't hate me, i just want to express my idea good luck for your development",5
623,622.0,Noice 👍🏻,5
624,623.0,"My First review was (23 Sept 2022) and the second one was (11 Feb 2023), and now is (16 April 2024) overall was so good but collecting the good artifact, the talent material, and character exp material got a very little maybe upgrade the amount of how much we can get for level 55+?? But again everything was already good still ✨Recommended ✨",5
625,624.0,The game is very good because the game gets updated every month with new characters and features.The story is very good but after reaching end game it becomes a bet boring but it can be solved by doing story quest spiral abyss and etc..,5
626,625.0,Hoyo give me neuve pls. Advance birthday gift for me. I love this game so much. It's the only game I am playing. Hope I win neuve. Huhu. Up! I GOT NEUVE. THANK YOU SO MUCH!!!,5
627,626.0,"Great exploration, characters, and unskippable dialog. The third is a nitpick I can work around but prefer we can skip",5
628,627.0,"This game is nice although it's laggy on low end phones,Now that I have a better one I'm having the best experience. Keep the good work up!",5
629,628.0,The game takes more data to download. In nigeria here we don't free wifi so we use courier data to browse and download stuff,3
630,629.0,"The game is soo good the animations, stories i like it",5
631,630.0,"Game is alright at first, looks nice n all. Story is okay most of the time. however gameplay gets stale way too fast and grinding makes my brain rot. Wouldn't recommend for anyone who isn't a gambling addict and actually enjoys unique forms of fun.",2
632,631.0,I love it so much 😍,5
633,632.0,"hadeh ni game makin gajelas dari dulu gitu2 aja gaada perkembangan, udah mah semua serba gacha bukan char yang gw maksud tapi artefak ni game bukan mekaniknya yang susah tapi build charnya itu ga pasti statnya gacha, udah gitu pingnya tinggi mulu, padahal wifi gw dipake main game lain enak2 aja mentang2 masih dapet banyak pendapatan dan gaada saingan kualitasnya ga diperbaiki hadeh hoyopers hoyopers",1
